OlinkID,AssayType,UniProt,Assay,Panel,Block,DataAnalysisRefID,BimodalDistribution,LODNPX,LODCount,LODMethod
OID20470,assay,Q12968,NFATC3,Inflammation,A,B04407,FALSE,-0.198112670682374,4222,lod_npx
OID20471,assay,Q14435,GALNT3,Inflammation,A,B04407,FALSE,-0.648775323374479,584,lod_npx
OID20472,assay,P05113,IL5,Inflammation,A,B04407,FALSE,-6.53509712315099,552,lod_npx
OID20473,assay,P01375,TNF,Inflammation,A,B04407,FALSE,-1.5697329060934,2150,lod_npx
OID20474,assay,Q92844,TANK,Inflammation,A,B04407,FALSE,1.06852919657593,1230,lod_npx
OID20475,assay,O43597,SPRY2,Inflammation,A,B04407,FALSE,-0.18757480133242,1432,lod_npx
OID20476,assay,P13693,TPT1,Inflammation,A,B04407,FALSE,1.28486493518969,1630,lod_npx
OID20477,assay,Q9P0M4,IL17C,Inflammation,A,B04407,FALSE,-2.57639297451988,1614,lod_npx
OID20478,assay,Q7Z739,YTHDF3,Inflammation,A,B04407,FALSE,1.43262879941239,1434,lod_npx
OID20479,assay,P42768,WAS,Inflammation,A,B04407,FALSE,1.62800200141451,2134,lod_npx
OID20480,assay,Q96RJ3,TNFRSF13C,Inflammation,A,B04407,FALSE,-1.47637876469265,846,lod_npx
OID20481,assay,Q8TAD2,IL17D,Inflammation,A,B04407,FALSE,-1.59833100655721,3466,lod_npx
OID20482,assay,Q7Z6M3,MILR1,Inflammation,A,B04407,FALSE,-1.51506484479244,2356,lod_npx
OID20483,assay,P30048,PRDX3,Inflammation,A,B04407,FALSE,0.148487493848631,1316,lod_npx
OID20484,assay,Q05084,ICA1,Inflammation,A,B04407,FALSE,0.733184691362492,1444,lod_npx
OID20485,assay,P51617,IRAK1,Inflammation,A,B04407,FALSE,0.129572428000356,1418,lod_npx
OID20486,assay,P42701,IL12RB1,Inflammation,A,B04407,FALSE,-0.47895241468309,2046,lod_npx
OID20487,assay,Q9HB29,IL1RL2,Inflammation,A,B04407,FALSE,-4.19837185473326,1892,lod_npx
OID20488,assay,P01583,IL1A,Inflammation,A,B04407,FALSE,0.639813261010326,5394,lod_npx
OID20489,assay,P32456,GBP2,Inflammation,A,B04407,FALSE,0.217496644803072,644,lod_npx
OID20490,assay,P12034,FGF5,Inflammation,A,B04407,FALSE,-2.05951338173202,1306,lod_npx
OID20491,assay,P09919,CSF3,Inflammation,A,B04407,FALSE,0.249590290175834,882,lod_npx
OID20492,assay,Q9BXJ7,AMN,Inflammation,A,B04407,FALSE,-0.277656529845514,2164,lod_npx
OID20493,assay,P18564,ITGB6,Inflammation,A,B04407,FALSE,-2.36313228935415,1394,lod_npx
OID20494,assay,P01591,JCHAIN,Inflammation,A,B04407,FALSE,0.271473807003406,990,lod_npx
OID20495,assay,P01579,IFNG,Inflammation,A,B04407,FALSE,6.43506363979671,218,lod_count
OID20496,assay,Q13291,SLAMF1,Inflammation,A,B04407,FALSE,-0.303202219053007,286,lod_count
OID20497,assay,Q8N8S7,ENAH,Inflammation,A,B04407,FALSE,-2.23870388725914,1100,lod_npx
OID20498,assay,Q13261,IL15RA,Inflammation,A,B04407,FALSE,0.238731872729865,2640,lod_npx
OID20500,assay,P09874,PARP1,Inflammation,B,B04407,FALSE,0.789869140866327,29830,lod_npx
OID20501,assay,Q0Z7S8,FABP9,Inflammation,B,B04407,FALSE,-2.24021099410384,5772,lod_npx
OID20502,assay,P78362,SRPK2,Inflammation,B,B04407,FALSE,0.608131283069498,9594,lod_npx
OID20503,assay,P09038,FGF2,Inflammation,B,B04407,FALSE,0.47971958830309,23276,lod_npx
OID20504,assay,O43736,ITM2A,Inflammation,B,B04407,FALSE,-1.82655890451132,18852,lod_npx
OID20505,assay,O14867,BACH1,Inflammation,B,B04407,FALSE,-0.43930131111597,5738,lod_npx
OID20506,assay,Q8IU57,IFNLR1,Inflammation,B,B04407,FALSE,-3.42204700404758,2902,lod_npx
OID20507,assay,Q12933,TRAF2,Inflammation,B,B04407,FALSE,-1.42996228074502,15724,lod_npx
OID20508,assay,Q06520,SULT2A1,Inflammation,B,B04407,FALSE,-0.377999325558166,9144,lod_npx
OID20509,assay,O60575,SPINK4,Inflammation,B,B04407,FALSE,-0.647937342643086,4318,lod_npx
OID20510,assay,Q9Y5A7,NUB1,Inflammation,B,B04407,FALSE,-0.499281846893155,2426,lod_npx
OID20511,assay,O60542,PSPN,Inflammation,B,B04407,FALSE,-4.63267206027736,1902,lod_npx
OID20512,assay,P30838,ALDH3A1,Inflammation,B,B04407,FALSE,NA,NA,NA
OID20513,assay,O43521-2,BCL2L11,Inflammation,B,B04407,FALSE,-1.87583134656232,3392,lod_npx
OID20514,assay,O60880,SH2D1A,Inflammation,B,B04407,FALSE,-1.25903733022138,22356,lod_npx
OID20515,assay,Q12778,FOXO1,Inflammation,B,B04407,FALSE,0.449746250567615,4582,lod_npx
OID20516,assay,Q7L8A9,VASH1,Inflammation,B,B04407,FALSE,0.984693095124037,21494,lod_npx
OID20517,assay,P55957,BID,Inflammation,B,B04407,FALSE,-0.10305864936356,1778,lod_npx
OID20519,assay,Q6UB28,METAP1D,Inflammation,B,B04407,FALSE,-0.831946650947268,2736,lod_npx
OID20520,assay,P01903,HLA-DRA,Inflammation,B,B04407,FALSE,-0.351588674029549,1846,lod_npx
OID20521,assay,Q92609,TBC1D5,Inflammation,B,B04407,FALSE,0.142504523577251,5672,lod_npx
OID20522,assay,P01588,EPO,Inflammation,B,B04407,FALSE,-0.803643627151726,3996,lod_npx
OID20523,assay,P80098,CCL7,Inflammation,B,B04407,FALSE,-1.68867154206957,2804,lod_npx
OID20524,assay,Q9UN19,DAPP1,Inflammation,B,B04407,FALSE,0.701359092311539,2682,lod_npx
OID20525,assay,Q9UNE0,EDAR,Inflammation,B,B04407,FALSE,-1.967256464695,3584,lod_npx
OID20526,assay,Q9C035,TRIM5,Inflammation,B,B04407,FALSE,1.13402229042515,3290,lod_npx
OID20527,assay,Q8N608,DPP10,Inflammation,B,B04407,FALSE,-1.84210201729256,3320,lod_npx
OID20528,assay,P23229,ITGA6,Inflammation,B,B04407,FALSE,0.0172708340494394,18282,lod_npx
OID20529,assay,Q6DN72,FCRL6,Inflammation,B,B04407,FALSE,-4.08238511060801,2740,lod_npx
OID20530,assay,P33241,LSP1,Inflammation,B,B04407,FALSE,-3.13210755527966,2566,lod_npx
OID20531,assay,Q9UNK0,STX8,Inflammation,B,B04407,FALSE,-0.0133755915260079,32028,lod_npx
OID20532,assay,P13747,HLA-E,Inflammation,B,B04407,FALSE,-0.988828544550167,30346,lod_npx
OID20533,assay,P19474,TRIM21,Inflammation,B,B04407,FALSE,-1.23281380001288,2074,lod_npx
OID20534,assay,O75475,PSIP1,Inflammation,B,B04407,FALSE,-1.61231026187035,1880,lod_npx
OID20535,assay,P13232,IL7,Inflammation,B,B04407,FALSE,-1.12790998028154,1648,lod_npx
OID20536,assay,Q8IVG5,SAMD9L,Inflammation,B,B04407,FALSE,-0.41561380795035,2718,lod_npx
OID20537,assay,Q96LC7,SIGLEC10,Inflammation,B,B04407,FALSE,-3.92876744677594,3872,lod_npx
OID20538,assay,B1AKI9,ISM1,Inflammation,B,B04407,FALSE,-4.97014756750189,1438,lod_npx
OID20539,assay,Q6ZMH5,SLC39A5,Inflammation,B,B04407,FALSE,-1.76065448820325,8430,lod_npx
OID20540,assay,P78410,BTN3A2,Inflammation,B,B04407,FALSE,-2.68673353659989,2786,lod_npx
OID20541,assay,P12872,MLN,Inflammation,B,B04407,FALSE,-2.73721769973616,2274,lod_npx
OID20542,assay,Q12765,SCRN1,Inflammation,B,B04407,FALSE,0.970272596175808,1556,lod_npx
OID20543,assay,P58294,PROK1,Inflammation,B,B04407,FALSE,-2.82387058539695,2678,lod_npx
OID20544,assay,Q9Y6K9,IKBKG,Inflammation,B,B04407,FALSE,-1.43224681643825,1942,lod_npx
OID20545,assay,O95644,NFATC1,Inflammation,B,B04407,FALSE,-0.270468145802367,4584,lod_npx
OID20546,assay,Q9Y258,CCL26,Inflammation,B,B04407,FALSE,0.807048894120098,1078,lod_npx
OID20547,assay,Q8WTT0,CLEC4C,Inflammation,B,B04407,FALSE,-3.10099660278363,2922,lod_npx
OID20548,assay,Q3KPI0,CEACAM21,Inflammation,B,B04407,FALSE,-3.11622736099278,1166,lod_npx
OID20549,assay,Q9BT73,PSMG3,Inflammation,B,B04407,FALSE,-1.44421935556328,3536,lod_npx
OID20550,assay,P20849,COL9A1,Inflammation,B,B04407,FALSE,-1.7003471452488,7404,lod_npx
OID20551,assay,Q9HD26,GOPC,Inflammation,B,B04407,FALSE,-0.126671314534334,2376,lod_npx
OID20552,assay,P52564,MAP2K6,Inflammation,B,B04407,FALSE,-1.63709056008214,664,lod_npx
OID20553,assay,Q9H0P0,NT5C3A,Inflammation,B,B04407,FALSE,0.622690680661683,2010,lod_npx
OID20554,assay,Q9NZN5,ARHGEF12,Inflammation,B,B04407,FALSE,0.322260416961445,7462,lod_npx
OID20555,assay,P42575,CASP2,Inflammation,B,B04407,FALSE,-0.867322423491179,4228,lod_npx
OID20556,assay,Q9UHC6,CNTNAP2,Inflammation,B,B04407,FALSE,-1.58448411154786,3246,lod_npx
OID20557,assay,P45984,MAPK9,Inflammation,B,B04407,FALSE,-0.765819565311959,812,lod_npx
OID20558,assay,P11274,BCR,Inflammation,B,B04407,FALSE,-0.273981821803455,4142,lod_npx
OID20559,assay,Q9UDT6,CLIP2,Inflammation,B,B04407,FALSE,0.289890768830815,288,lod_count
OID20560,assay,Q14242,SELPLG,Inflammation,B,B04407,FALSE,-4.1498609391773,2334,lod_npx
OID20561,assay,P78310,CXADR,Inflammation,B,B04407,FALSE,-2.75789029449598,1084,lod_npx
OID20562,assay,P40933,IL15,Inflammation,B,B04407,FALSE,-3.48274310444127,1392,lod_npx
OID20563,assay,P05231,IL6,Inflammation,B,B04407,FALSE,-0.831485480621587,782,lod_npx
OID20564,assay,P24071,FCAR,Inflammation,B,B04407,FALSE,-2.64014821948082,1424,lod_npx
OID20565,assay,Q01151,CD83,Inflammation,B,B04407,FALSE,-3.25507400567817,1220,lod_npx
OID20566,assay,O76036,NCR1,Inflammation,B,B04407,FALSE,-2.69636384756919,3152,lod_npx
OID20567,assay,P19878,NCF2,Inflammation,B,B04407,FALSE,-4.37683905120152,4160,lod_npx
OID20568,assay,P23582,NPPC,Inflammation,B,B04407,FALSE,-4.17813984367684,4280,lod_npx
OID20569,assay,Q9NRJ3,CCL28,Inflammation,B,B04407,FALSE,-1.4229519881669,1110,lod_npx
OID20570,assay,P26022,PTX3,Inflammation,B,B04407,FALSE,-4.49375894549499,1184,lod_npx
OID20571,assay,Q03431,PTH1R,Inflammation,B,B04407,FALSE,-4.00070069166991,3812,lod_npx
OID20572,assay,Q9GZT9,EGLN1,Inflammation,B,B04407,FALSE,-2.16145619416866,4360,lod_npx
OID20573,assay,Q9UMR7,CLEC4A,Inflammation,B,B04407,FALSE,-2.76891583723591,1200,lod_npx
OID20574,assay,P13725,OSM,Inflammation,B,B04407,FALSE,-3.40442739393706,1332,lod_npx
OID20575,assay,P28845,HSD11B1,Inflammation,B,B04407,FALSE,-3.31277477569561,8002,lod_npx
OID20576,assay,P24394,IL4R,Inflammation,B,B04407,FALSE,-3.31685960844891,2718,lod_npx
OID20577,assay,Q9NWZ3,IRAK4,Inflammation,B,B04407,FALSE,-0.414919274778065,1090,lod_npx
OID20578,assay,Q14773,ICAM4,Inflammation,B,B04407,FALSE,-4.42181342621735,2512,lod_npx
OID20579,assay,Q16698,DECR1,Inflammation,B,B04407,FALSE,-1.48057091039838,1614,lod_npx
OID20580,assay,O60449,LY75,Inflammation,B,B04407,FALSE,-3.13202975962276,1336,lod_npx
OID20581,assay,Q9UKX5,ITGA11,Inflammation,B,B04407,FALSE,-2.24027781506632,2786,lod_npx
OID20582,assay,O15169,AXIN1,Inflammation,B,B04407,FALSE,0.176330729664854,4472,lod_npx
OID20583,assay,P50995,ANXA11,Inflammation,B,B04407,FALSE,0.309978834108761,3908,lod_npx
OID20584,assay,P01730,CD4,Inflammation,B,B04407,FALSE,-3.02366373621609,6126,lod_npx
OID20585,assay,Q9NRM6,IL17RB,Inflammation,B,B04407,FALSE,-3.61953084713747,2100,lod_npx
OID20586,assay,P01374,LTA,Inflammation,B,B04407,FALSE,-3.5974929937031,2588,lod_npx
OID20587,assay,Q6ZUJ8,PIK3AP1,Inflammation,B,B04407,FALSE,0.408716635959602,564,lod_npx
OID20588,assay,P16455,MGMT,Inflammation,B,B04407,FALSE,-0.577090456020596,1194,lod_npx
OID20589,assay,O94992,HEXIM1,Inflammation,B,B04407,FALSE,-1.59668885667252,2036,lod_npx
OID20590,assay,Q6UXB4,CLEC4G,Inflammation,B,B04407,FALSE,-4.33072679303678,628,lod_npx
OID20591,assay,P20783,NTF3,Inflammation,B,B04407,FALSE,-3.56540468163149,2316,lod_npx
OID20592,assay,O14788,TNFSF11,Inflammation,B,B04407,FALSE,-2.53890397263797,1558,lod_npx
OID20593,assay,Q29980_Q29983,MICB_MICA,Inflammation,B,B04407,FALSE,-5.01567629442735,478,lod_npx
OID20594,assay,Q8NDB2,BANK1,Inflammation,B,B04407,FALSE,-1.06075187859415,2558,lod_npx
OID20595,assay,Q8TD46,CD200R1,Inflammation,B,B04407,FALSE,-4.90721237299615,1202,lod_npx
OID20596,assay,P08727,KRT19,Inflammation,B,B04407,FALSE,-1.84455641570096,3818,lod_npx
OID20597,assay,Q9HCM2,PLXNA4,Inflammation,B,B04407,FALSE,-2.36466873395826,894,lod_npx
OID20598,assay,P28827,PTPRM,Inflammation,B,B04407,FALSE,-3.06520462350146,1248,lod_npx
OID20599,assay,P32970,CD70,Inflammation,B,B04407,FALSE,-3.86709490984884,844,lod_npx
OID20600,assay,P01135,TGFA,Inflammation,B,B04407,FALSE,-2.88350732551556,574,lod_npx
OID20601,assay,Q01344,IL5RA,Inflammation,B,B04407,FALSE,-3.08724908883113,1514,lod_npx
OID20602,assay,Q9NQ25,SLAMF7,Inflammation,B,B04407,FALSE,-1.47475104715583,3304,lod_npx
OID20603,assay,P41217,CD200,Inflammation,B,B04407,FALSE,-4.0769582411654,354,lod_npx
OID20604,assay,P10144,GZMB,Inflammation,B,B04407,FALSE,-4.85568813933529,752,lod_npx
OID20605,assay,P24001,IL32,Inflammation,B,B04407,FALSE,-4.79348334019002,868,lod_npx
OID20606,assay,P42702,LIFR,Inflammation,B,B04407,FALSE,-2.94777174849208,426,lod_npx
OID20607,assay,Q9UIB8,CD84,Inflammation,B,B04407,FALSE,-5.12739985426643,726,lod_npx
OID20608,assay,P20340,RAB6A,Inflammation,B,B04407,FALSE,-1.18723717057147,834,lod_npx
OID20609,assay,Q8WXI8,CLEC4D,Inflammation,B,B04407,FALSE,-2.54934465543164,466,lod_npx
OID20610,assay,P10147,CCL3,Inflammation,B,B04407,FALSE,-3.06864063242835,1332,lod_npx
OID20611,assay,P50591,TNFSF10,Inflammation,C,B04407,FALSE,-7.64698622583837,228,lod_count
OID20612,assay,O15455,TLR3,Inflammation,C,B04407,FALSE,-4.10408838055715,13940,lod_npx
OID20613,assay,P80162,CXCL6,Inflammation,C,B04407,FALSE,-5.00472616977016,150,lod_count
OID20614,assay,Q08174,PCDH1,Inflammation,C,B04407,FALSE,-5.67114106181218,5026,lod_npx
OID20615,assay,P37235,HPCAL1,Inflammation,C,B04407,FALSE,-4.31766935695814,2076,lod_npx
OID20616,assay,P29965,CD40LG,Inflammation,C,B04407,FALSE,-4.20922551785962,5806,lod_npx
OID20617,assay,Q07065,CKAP4,Inflammation,C,B04407,FALSE,-5.96384279728317,4194,lod_npx
OID20618,assay,P68106,FKBP1B,Inflammation,C,B04407,FALSE,1.62857300071932,18142,lod_npx
OID20619,assay,P22304,IDS,Inflammation,C,B04407,FALSE,-1.61192024134243,70522,lod_npx
OID20620,assay,O00273,DFFA,Inflammation,C,B04407,FALSE,-3.80824245724628,3462,lod_npx
OID20621,assay,P01137,TGFB1,Inflammation,C,B04407,FALSE,-3.65658630054683,2706,lod_npx
OID20622,assay,Q6UXB2,CXCL17,Inflammation,C,B04407,FALSE,-4.91473140098597,7658,lod_npx
OID20623,assay,Q9Y266,NUDC,Inflammation,C,B04407,FALSE,-4.91646816424478,1596,lod_npx
OID20624,assay,O43508,TNFSF12,Inflammation,C,B04407,FALSE,-5.15123464487928,182,lod_count
OID20625,assay,Q04637,EIF4G1,Inflammation,C,B04407,FALSE,-1.16497133764826,6172,lod_npx
OID20626,assay,P35613,BSG,Inflammation,C,B04407,FALSE,-6.87480873266024,5242,lod_npx
OID20627,assay,O60884,DNAJA2,Inflammation,C,B04407,FALSE,-2.26740170101567,2760,lod_npx
OID20628,assay,Q9BZW8,CD244,Inflammation,C,B04407,FALSE,-3.92467450573081,10162,lod_npx
OID20629,assay,Q12918,KLRB1,Inflammation,C,B04407,FALSE,-6.88660969833612,1842,lod_npx
OID20630,assay,P50452,SERPINB8,Inflammation,C,B04407,FALSE,-4.06621007658766,14700,lod_npx
OID20631,assay,P10145,CXCL8,Inflammation,C,B04407,FALSE,-5.44609799955426,3026,lod_npx
OID20632,assay,Q13241,KLRD1,Inflammation,C,B04407,FALSE,-5.6965327472512,3002,lod_npx
OID20633,assay,Q14005,IL16,Inflammation,C,B04407,FALSE,-5.24236390555818,10326,lod_npx
OID20634,assay,O94856,NFASC,Inflammation,C,B04407,FALSE,-0.488417990570121,271932,lod_npx
OID20635,assay,P40259,CD79B,Inflammation,C,B04407,FALSE,-5.8567423275571,3028,lod_npx
OID20636,assay,Q9BXN2,CLEC7A,Inflammation,C,B04407,FALSE,-3.71630547794294,7382,lod_npx
OID20637,assay,P20273,CD22,Inflammation,C,B04407,FALSE,-6.67270615681165,1774,lod_npx
OID20638,assay,Q9UQV4,LAMP3,Inflammation,C,B04407,FALSE,-5.92717818711543,1954,lod_npx
OID20639,assay,Q96LA5,FCRL2,Inflammation,C,B04407,FALSE,-4.80659525657864,2876,lod_npx
OID20640,assay,O43561,LAT,Inflammation,C,B04407,FALSE,-2.19735586497507,2542,lod_npx
OID20641,assay,P36959,GMPR,Inflammation,C,B04407,FALSE,-0.982444157442702,14870,lod_npx
OID20642,assay,Q15661,TPSAB1,Inflammation,C,B04407,FALSE,-6.77795720367952,2496,lod_npx
OID20643,assay,Q96SB3,PPP1R9B,Inflammation,C,B04407,FALSE,-0.314421978222473,2018,lod_npx
OID20644,assay,P30044,PRDX5,Inflammation,C,B04407,FALSE,-2.1029978183575,7264,lod_npx
OID20645,assay,P00813,ADA,Inflammation,C,B04407,FALSE,-5.30233946715466,2826,lod_npx
OID20646,assay,Q9Y6Q6,TNFRSF11A,Inflammation,C,B04407,FALSE,-6.48684179056871,1590,lod_npx
OID20647,assay,O95971,CD160,Inflammation,C,B04407,FALSE,-5.93769082216257,3236,lod_npx
OID20648,assay,P14317,HCLS1,Inflammation,C,B04407,FALSE,-3.00464789402808,1738,lod_npx
OID20649,assay,P30203,CD6,Inflammation,C,B04407,FALSE,-6.55075299088648,1820,lod_npx
OID20650,assay,P15692,VEGFA,Inflammation,C,B04407,FALSE,-6.21522118703886,180,lod_count
OID20651,assay,O75077,ADAM23,Inflammation,C,B04407,FALSE,-6.39324899455751,2386,lod_npx
OID20652,assay,Q13478,IL18R1,Inflammation,C,B04407,FALSE,-6.7886595095424,4092,lod_npx
OID20653,assay,P43489,TNFRSF4,Inflammation,C,B04407,FALSE,-6.40869162509399,3260,lod_npx
OID20654,assay,P02745,C1QA,Inflammation,C,B04407,FALSE,-2.01003607708654,32916,lod_npx
OID20655,assay,Q99616,CCL13,Inflammation,C,B04407,FALSE,-6.1277031773443,152,lod_count
OID20656,assay,P14210,HGF,Inflammation,C,B04407,FALSE,-7.2367341677514,1966,lod_npx
OID20657,assay,Q12866,MERTK,Inflammation,C,B04407,FALSE,-5.48145066880784,1650,lod_npx
OID20658,assay,O00253,AGRP,Inflammation,C,B04407,FALSE,-4.47616922099758,4182,lod_npx
OID20660,assay,P43234,CTSO,Inflammation,C,B04407,FALSE,-5.42736562433772,4512,lod_npx
OID20661,assay,P49771,FLT3LG,Inflammation,C,B04407,FALSE,-6.12940555835891,5208,lod_npx
OID20662,assay,O43915,VEGFD,Inflammation,C,B04407,FALSE,-7.37668938084843,1066,lod_npx
OID20663,assay,P12544,GZMA,Inflammation,C,B04407,FALSE,-4.33918784518358,2674,lod_npx
OID20664,assay,Q9H4D0,CLSTN2,Inflammation,C,B04407,FALSE,-6.98561346388334,1468,lod_npx
OID20665,assay,P48023,FASLG,Inflammation,C,B04407,FALSE,-6.93639983305335,1408,lod_npx
OID20666,assay,P29460,IL12B,Inflammation,C,B04407,FALSE,-7.45805475559098,1210,lod_npx
OID20667,assay,Q15517,CDSN,Inflammation,C,B04407,FALSE,1.45236860544725,60210,lod_npx
OID20668,assay,P51671,CCL11,Inflammation,C,B04407,FALSE,-8.7644183581803,1334,lod_npx
OID20669,assay,Q16719,KYNU,Inflammation,C,B04407,FALSE,-7.80455899485283,1628,lod_npx
OID20670,assay,Q9HBG7,LY9,Inflammation,C,B04407,FALSE,-6.94004780725582,1344,lod_npx
OID20671,assay,P78556,CCL20,Inflammation,C,B04407,FALSE,-5.4635220451573,1084,lod_npx
OID20672,assay,P03956,MMP1,Inflammation,C,B04407,FALSE,-8.12589163119819,762,lod_npx
OID20673,assay,P49763,PGF,Inflammation,C,B04407,FALSE,-7.83672014200278,440,lod_npx
OID20674,assay,O15444,CCL25,Inflammation,C,B04407,FALSE,-5.78581896938364,508,lod_npx
OID20675,assay,Q07325,CXCL9,Inflammation,D,B04407,FALSE,-4.68085037399737,8130,lod_npx
OID20676,assay,Q92484,SMPDL3A,Inflammation,D,B04407,FALSE,-3.884161111119,3866,lod_npx
OID20677,assay,P21709,EPHA1,Inflammation,D,B04407,FALSE,-5.23146767174038,5446,lod_npx
OID20678,assay,P15260,IFNGR1,Inflammation,D,B04407,FALSE,-3.51645925421732,7104,lod_npx
OID20679,assay,P53634,CTSC,Inflammation,D,B04407,FALSE,-0.482294657324589,18772,lod_npx
OID20680,assay,Q5ZPR3,CD276,Inflammation,D,B04407,FALSE,-6.92277359150393,4018,lod_npx
